date,KPC4,KPB8,dayofweek,quarter,dayofyear,dayofmonth,weekofyear,KPC4_lag_1,KPB8_lag_1,KPC4_lag_3,KPB8_lag_3,KPC4_lag_6,KPB8_lag_6,KPC4_lag_12,KPB8_lag_12,KPC4_window_3_mean,KPC4_window_3_std,KPB8_window_3_mean,KPB8_window_3_std,KPC4_window_6_mean,KPC4_window_6_std,KPB8_window_6_mean,KPB8_window_6_std
2015-12-01,60.4,78.2,1,4,335,1,49,59.7,71.1,57.6,72.7,56.6,70.5,53.6,61.4,58.26666666666667,1.2423096769051472,71.33333333333333,1.2662279942136891,57.31666666666666,1.3731957859919088,71.35000000000001,1.2421755109483599
2016-01-01,62.3,75.2,4,1,1,1,53,60.4,78.2,57.5,70.2,56.9,70.5,53.6,67.2,59.199999999999996,1.513274595041757,73.16666666666664,4.382160806420751,57.95000000000001,1.789692711053846,72.63333333333334,2.9676028485406243
2016-02-01,61.3,73.3,0,1,32,1,5,62.3,75.2,59.7,71.1,55.6,73.1,53.8,67.0,60.800000000000004,1.3453624047068897,74.83333333333333,3.5641735835015056,58.849999999999994,2.40728062344199,73.41666666666667,2.9116432931707807
2016-03-01,61.6,73.8,1,1,61,1,9,61.3,73.3,60.4,78.2,57.6,72.7,54.4,69.0,61.333333333333336,0.9504384952915236,75.56666666666666,2.4704925284910018,59.800000000000004,1.949358868961602,73.45,2.908436005828514
2016-04-01,64.2,75.5,4,2,92,1,13,61.6,73.8,62.3,75.2,57.5,70.2,56.0,66.6,61.73333333333333,0.5131601439433827,74.1,0.9848857801779295,60.46666666666667,1.7165857586109499,73.63333333333333,2.886289428776397
2016-05-01,65.8,81.5,6,2,122,1,17,64.2,75.5,61.3,73.3,59.7,71.1,54.7,68.4,62.366666666666674,1.594783161853665,74.19999999999999,1.15325625946564,61.583333333333336,1.5740605663906155,74.51666666666667,2.3945076042197786
2016-06-01,66.6,80.8,2,2,153,1,22,65.8,81.5,61.6,73.8,60.4,78.2,56.6,70.5,63.86666666666667,2.1197484127442814,76.93333333333332,4.045161719057687,62.6,2.020890892650885,76.25,3.0898220013456457
2016-07-01,67.5,81.0,4,3,183,1,26,66.6,80.8,64.2,75.5,62.3,75.2,56.9,70.5,65.53333333333333,1.2220201853209356,79.26666666666665,3.2807519463271637,63.63333333333333,2.2438062899158573,76.68333333333332,3.5639397675418514
2016-08-01,69.3,81.6,0,3,214,1,31,67.5,81.0,65.8,81.5,61.3,73.3,55.6,73.1,66.63333333333333,0.8504900548106269,81.09999999999998,0.36055512754072483,64.5,2.6015380066413227,77.64999999999999,3.8557748896946245
2016-09-01,73.0,84.8,3,3,245,1,35,69.3,81.6,66.6,80.8,61.6,73.8,57.6,72.7,67.8,1.3747727084861743,81.13333333333333,0.4163331998883047,65.83333333333333,2.6822875809029068,79.03333333333333,3.4506038118952778
